Age,Race,Sex,Education,Weight
18 to 24 years,Hispanic,Female,None,6
18 to 24 years,Hispanic,Female,1st - 4th grade,4
18 to 24 years,Hispanic,Female,5th - 6th grade,22
18 to 24 years,Hispanic,Female,7th - 8th grade,20
18 to 24 years,Hispanic,Female,9th grade,39
18 to 24 years,Hispanic,Female,10th grade,80
18 to 24 years,Hispanic,Female,11th grade2,406
18 to 24 years,Hispanic,Female,High school graduate,958
18 to 24 years,Hispanic,Female,"Some college, no degree",1215
18 to 24 years,Hispanic,Female,"Associate's degree, occupational",90
18 to 24 years,Hispanic,Female,"Associate's degree, academic",130
18 to 24 years,Hispanic,Female,Bachelor's degree,240
18 to 24 years,Hispanic,Female,Master's degree,7
18 to 24 years,Hispanic,Female,Professional degree,0
18 to 24 years,Hispanic,Female,Doctoral degree,2
25 to 29 years,Hispanic,Female,None,0
25 to 29 years,Hispanic,Female,1st - 4th grade,19
25 to 29 years,Hispanic,Female,5th - 6th grade,31
25 to 29 years,Hispanic,Female,7th - 8th grade,32
25 to 29 years,Hispanic,Female,9th grade,55
25 to 29 years,Hispanic,Female,10th grade,69
25 to 29 years,Hispanic,Female,11th grade2,132
25 to 29 years,Hispanic,Female,High school graduate,643
25 to 29 years,Hispanic,Female,"Some college, no degree",495
25 to 29 years,Hispanic,Female,"Associate's degree, occupational",114
25 to 29 years,Hispanic,Female,"Associate's degree, academic",143
25 to 29 years,Hispanic,Female,Bachelor's degree,389
25 to 29 years,Hispanic,Female,Master's degree,88
25 to 29 years,Hispanic,Female,Professional degree,7
25 to 29 years,Hispanic,Female,Doctoral degree,16
30 to 34 years,Hispanic,Female,None,9
30 to 34 years,Hispanic,Female,1st - 4th grade,19
30 to 34 years,Hispanic,Female,5th - 6th grade,87
30 to 34 years,Hispanic,Female,7th - 8th grade,74
30 to 34 years,Hispanic,Female,9th grade,109
30 to 34 years,Hispanic,Female,10th grade,45
30 to 34 years,Hispanic,Female,11th grade2,104
30 to 34 years,Hispanic,Female,High school graduate,625
30 to 34 years,Hispanic,Female,"Some college, no degree",402
30 to 34 years,Hispanic,Female,"Associate's degree, occupational",85
30 to 34 years,Hispanic,Female,"Associate's degree, academic",113
30 to 34 years,Hispanic,Female,Bachelor's degree,318
30 to 34 years,Hispanic,Female,Master's degree,117
30 to 34 years,Hispanic,Female,Professional degree,4
30 to 34 years,Hispanic,Female,Doctoral degree,13
35 to 39 years,Hispanic,Female,None,13
35 to 39 years,Hispanic,Female,1st - 4th grade,27
35 to 39 years,Hispanic,Female,5th - 6th grade,113
35 to 39 years,Hispanic,Female,7th - 8th grade,72
35 to 39 years,Hispanic,Female,9th grade,141
35 to 39 years,Hispanic,Female,10th grade,59
35 to 39 years,Hispanic,Female,11th grade2,115
35 to 39 years,Hispanic,Female,High school graduate,619
35 to 39 years,Hispanic,Female,"Some college, no degree",315
35 to 39 years,Hispanic,Female,"Associate's degree, occupational",86
35 to 39 years,Hispanic,Female,"Associate's degree, academic",105
35 to 39 years,Hispanic,Female,Bachelor's degree,282
35 to 39 years,Hispanic,Female,Master's degree,127
35 to 39 years,Hispanic,Female,Professional degree,14
35 to 39 years,Hispanic,Female,Doctoral degree,9
40 to 44 years,Hispanic,Female,None,17
40 to 44 years,Hispanic,Female,1st - 4th grade,35
40 to 44 years,Hispanic,Female,5th - 6th grade,136
40 to 44 years,Hispanic,Female,7th - 8th grade,106
40 to 44 years,Hispanic,Female,9th grade,116
40 to 44 years,Hispanic,Female,10th grade,48
40 to 44 years,Hispanic,Female,11th grade2,89
40 to 44 years,Hispanic,Female,High school graduate,581
40 to 44 years,Hispanic,Female,"Some college, no degree",244
40 to 44 years,Hispanic,Female,"Associate's degree, occupational",71
40 to 44 years,Hispanic,Female,"Associate's degree, academic",104
40 to 44 years,Hispanic,Female,Bachelor's degree,276
40 to 44 years,Hispanic,Female,Master's degree,113
40 to 44 years,Hispanic,Female,Professional degree,11
40 to 44 years,Hispanic,Female,Doctoral degree,19
45 to 49 years,Hispanic,Female,None,12
45 to 49 years,Hispanic,Female,1st - 4th grade,53
45 to 49 years,Hispanic,Female,5th - 6th grade,148
45 to 49 years,Hispanic,Female,7th - 8th grade,90
45 to 49 years,Hispanic,Female,9th grade,107
45 to 49 years,Hispanic,Female,10th grade,36
45 to 49 years,Hispanic,Female,11th grade2,123
45 to 49 years,Hispanic,Female,High school graduate,526
45 to 49 years,Hispanic,Female,"Some college, no degree",216
45 to 49 years,Hispanic,Female,"Associate's degree, occupational",65
45 to 49 years,Hispanic,Female,"Associate's degree, academic",91
45 to 49 years,Hispanic,Female,Bachelor's degree,234
45 to 49 years,Hispanic,Female,Master's degree,68
45 to 49 years,Hispanic,Female,Professional degree,11
45 to 49 years,Hispanic,Female,Doctoral degree,16
50 to 54 years,Hispanic,Female,None,21
50 to 54 years,Hispanic,Female,1st - 4th grade,42
50 to 54 years,Hispanic,Female,5th - 6th grade,127
50 to 54 years,Hispanic,Female,7th - 8th grade,54
50 to 54 years,Hispanic,Female,9th grade,54
50 to 54 years,Hispanic,Female,10th grade,54
50 to 54 years,Hispanic,Female,11th grade2,82
50 to 54 years,Hispanic,Female,High school graduate,458
50 to 54 years,Hispanic,Female,"Some college, no degree",235
50 to 54 years,Hispanic,Female,"Associate's degree, occupational",60
50 to 54 years,Hispanic,Female,"Associate's degree, academic",115
50 to 54 years,Hispanic,Female,Bachelor's degree,184
50 to 54 years,Hispanic,Female,Master's degree,72
50 to 54 years,Hispanic,Female,Professional degree,5
50 to 54 years,Hispanic,Female,Doctoral degree,10
55 to 59 years,Hispanic,Female,None,21
55 to 59 years,Hispanic,Female,1st - 4th grade,59
55 to 59 years,Hispanic,Female,5th - 6th grade,107
55 to 59 years,Hispanic,Female,7th - 8th grade,70
55 to 59 years,Hispanic,Female,9th grade,64
55 to 59 years,Hispanic,Female,10th grade,35
55 to 59 years,Hispanic,Female,11th grade2,69
55 to 59 years,Hispanic,Female,High school graduate,416
55 to 59 years,Hispanic,Female,"Some college, no degree",171
55 to 59 years,Hispanic,Female,"Associate's degree, occupational",37
55 to 59 years,Hispanic,Female,"Associate's degree, academic",70
