Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Female,"8,523",78,40,106,125,74,84,226,"1,545",910,241,364,"2,883","1,372",150,327
"		  18 to 24 years",Female,881,4,0,0,3,6,12,91,117,355,11,47,218,14,0,2
"	 25 years and over",Female,"7,642",74,40,106,122,67,71,135,"1,427",555,230,316,"2,665","1,358",150,325
"		  25 to 29 years",Female,766,0,0,0,3,0,3,10,73,63,26,19,362,182,6,20
"		  30 to 34 years",Female,874,2,0,7,7,2,0,2,80,51,20,41,328,265,24,44
"		  35 to 39 years",Female,910,0,0,2,8,3,4,6,125,71,25,51,329,237,12,37
"		  40 to 44 years",Female,805,3,2,2,19,1,5,5,109,78,27,12,285,197,26,35
"		  45 to 49 years",Female,772,5,2,2,17,7,4,4,116,55,26,29,279,145,29,50
"		  50 to 54 years",Female,717,1,2,3,5,2,11,22,137,62,22,37,256,97,9,51
"		  55 to 59 years",Female,605,9,1,7,13,15,5,10,150,37,13,30,206,75,9,24
"		  60 to 64 years",Female,628,13,4,29,7,1,7,14,172,38,18,37,208,43,11,25
"		  65 to 69 years",Female,512,10,0,14,6,12,2,22,159,40,18,23,138,49,7,12
"		  70 to 74 years",Female,450,8,12,12,13,9,10,11,126,24,15,23,144,31,7,5
"	 75 years and over",Female,603,23,17,27,25,16,20,29,180,36,18,14,131,37,10,21
