Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Male,"7,432",55,24,46,60,47,55,181,"1,250",866,144,280,"2,337","1,455",182,450
"		  18 to 24 years",Male,826,1,0,0,1,0,5,66,149,356,2,17,203,25,0,0
"	 25 years and over",Male,"6,605",53,24,46,59,47,50,114,"1,101",510,142,263,"2,133","1,430",182,450
"		  25 to 29 years",Male,830,0,0,0,0,0,7,15,96,94,16,37,326,208,15,15
"		  30 to 34 years",Male,805,0,0,0,2,3,8,13,77,60,22,43,237,259,20,61
"		  35 to 39 years",Male,786,2,0,2,9,3,7,6,98,60,17,21,295,175,21,70
"		  40 to 44 years",Male,700,3,3,6,2,4,5,5,90,42,11,28,247,183,21,51
"		  45 to 49 years",Male,711,5,0,6,12,10,2,1,126,39,11,16,210,200,28,44
"		  50 to 54 years",Male,581,5,0,2,4,4,5,4,114,46,11,27,188,119,8,44
"		  55 to 59 years",Male,556,1,6,12,6,3,9,11,98,57,11,26,138,94,21,61
"		  60 to 64 years",Male,491,9,0,3,4,3,3,5,152,37,11,16,151,67,7,23
"		  65 to 69 years",Male,390,10,2,4,2,10,0,9,110,28,18,14,112,37,15,19
"		  70 to 74 years",Male,283,6,3,1,9,5,2,10,47,21,5,14,85,44,14,17
"	 75 years and over",Male,472,13,11,10,8,1,2,35,94,27,8,20,143,45,13,44
