Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Both,"15,954",133,64,152,185,120,139,406,"2,795","1,776",385,644,"5,219","2,828",332,777
"		  18 to 24 years",Both,"1,707",5,0,0,4,6,17,157,266,711,13,64,421,39,0,2
"	 25 years and over",Both,"14,247",128,64,152,181,114,122,249,"2,529","1,065",372,580,"4,798","2,788",332,775
"		  25 to 29 years",Both,"1,596",0,0,0,3,0,10,25,169,157,42,56,689,390,21,35
"		  30 to 34 years",Both,"1,679",2,0,7,9,5,8,15,157,111,43,85,564,524,44,106
"		  35 to 39 years",Both,"1,696",2,0,4,18,6,11,12,223,131,42,73,624,412,32,107
"		  40 to 44 years",Both,"1,505",6,5,8,20,6,9,10,199,120,38,40,532,381,47,86
"		  45 to 49 years",Both,"1,483",10,2,8,29,17,7,5,242,94,38,45,489,345,57,95
"		  50 to 54 years",Both,"1,298",6,2,5,9,6,16,26,251,108,33,64,443,216,17,96
"		  55 to 59 years",Both,"1,161",10,7,19,19,18,14,21,247,94,24,56,344,170,30,85
"		  60 to 64 years",Both,"1,119",22,4,32,11,4,10,19,324,75,29,54,359,109,18,48
"		  65 to 69 years",Both,902,20,2,18,8,22,2,31,269,68,36,37,250,87,22,31
"		  70 to 74 years",Both,733,14,14,14,22,14,12,21,174,45,20,36,230,75,21,21
"	 75 years and over",Both,"1,076",36,27,37,33,17,23,63,274,63,26,34,273,81,23,65
