Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Female,"17,579",32,70,88,159,161,256,905,"5,471","3,526",764,"1,182","3,013","1,591",139,221
"		  18 to 24 years",Female,"2,179",2,1,3,0,10,23,195,829,725,53,121,216,0,0,0
"	 25 years and over",Female,"15,400",29,69,85,159,151,233,711,"4,642","2,801",710,"1,061","2,798","1,591",139,221
"		  25 to 29 years",Female,"1,755",0,0,0,2,11,7,85,547,369,65,97,461,89,8,14
"		  30 to 34 years",Female,"1,751",0,0,1,0,7,4,62,581,379,91,116,313,154,16,27
"		  35 to 39 years",Female,"1,555",2,11,1,13,7,21,57,335,332,62,129,325,198,28,34
"		  40 to 44 years",Female,"1,495",0,3,8,12,10,26,69,391,259,65,110,271,251,9,12
"		  45 to 49 years",Female,"1,402",3,2,4,10,5,20,48,370,211,81,101,320,182,18,27
"		  50 to 54 years",Female,"1,419",3,4,0,8,15,7,37,404,241,71,113,263,208,12,32
"		  55 to 59 years",Female,"1,363",0,2,9,9,15,33,66,456,225,78,96,229,111,14,21
"		  60 to 64 years",Female,"1,453",0,8,13,25,10,31,67,483,249,75,99,228,141,16,9
"		  65 to 69 years",Female,"1,111",6,5,3,19,22,16,71,318,216,49,90,159,109,7,21
"		  70 to 74 years",Female,829,6,6,12,9,10,32,47,286,146,36,51,108,74,1,5
"	 75 years and over",Female,"1,267",10,29,35,51,39,35,102,471,175,38,59,121,73,11,18
