Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Both,"42,749",411,"1,049","2,311","1,434","1,582",919,"2,783","13,849","6,913","1,534","2,121","5,635","1,729",261,219
"		  18 to 24 years",Both,"6,856",12,6,52,63,113,132,867,"2,528","2,212",156,262,429,19,4,0
"	 25 years and over",Both,"35,893",399,"1,042","2,259","1,371","1,469",786,"1,916","11,321","4,701","1,378","1,858","5,206","1,710",257,219
"		  25 to 29 years",Both,"4,972",19,22,80,51,111,57,232,"1,810",904,209,323,918,188,33,13
"		  30 to 34 years",Both,"4,557",10,46,144,91,183,97,298,"1,463",730,207,262,738,244,21,25
"		  35 to 39 years",Both,"4,459",21,87,251,160,216,133,243,"1,361",580,165,235,727,219,35,25
"		  40 to 44 years",Both,"4,260",24,93,275,192,219,93,227,"1,363",514,166,203,605,245,16,25
"		  45 to 49 years",Both,"3,889",52,91,281,165,154,86,187,"1,198",449,181,198,572,203,37,36
"		  50 to 54 years",Both,"3,391",55,114,217,184,174,74,193,"1,090",355,122,170,461,142,22,19
"		  55 to 59 years",Both,"3,008",31,148,249,137,118,85,154,920,380,102,140,371,125,30,18
"		  60 to 64 years",Both,"2,353",52,114,222,93,91,36,133,690,285,85,135,266,123,17,13
"		  65 to 69 years",Both,"1,742",26,88,186,93,61,26,87,503,185,61,89,221,80,14,20
"		  70 to 74 years",Both,"1,422",54,83,135,102,67,41,71,358,163,46,47,156,76,11,11
"	 75 years and over",Both,"1,840",56,158,220,103,73,57,91,566,157,34,57,171,65,20,14
