Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Female,"21,430",185,459,"1,132",703,786,406,"1,244","6,475","3,688",823,"1,222","3,099",970,126,112
"		  18 to 24 years",Female,"3,379",9,4,28,29,55,55,377,"1,107","1,194",92,146,264,17,2,0
"	 25 years and over",Female,"18,051",176,456,"1,104",673,731,351,868,"5,368","2,493",730,"1,075","2,836",954,124,112
"		  25 to 29 years",Female,"2,380",2,4,31,37,48,18,86,790,440,110,169,513,105,22,6
"		  30 to 34 years",Female,"2,238",5,17,58,30,88,41,112,659,379,100,141,410,171,8,20
"		  35 to 39 years",Female,"2,161",11,32,103,69,103,65,100,590,316,85,132,405,114,15,21
"		  40 to 44 years",Female,"2,080",8,38,140,96,83,45,109,572,288,89,117,329,145,10,10
"		  45 to 49 years",Female,"1,929",17,38,119,94,86,40,76,543,229,105,125,299,116,23,19
"		  50 to 54 years",Female,"1,714",23,34,105,67,102,23,107,523,222,68,112,239,73,7,9
"		  55 to 59 years",Female,"1,519",19,71,127,73,72,36,71,465,185,56,79,193,53,15,5
"		  60 to 64 years",Female,"1,216",19,36,122,44,43,20,55,361,150,42,86,164,60,7,6
"		  65 to 69 years",Female,953,10,43,95,44,30,12,56,304,110,38,52,101,47,6,6
"		  70 to 74 years",Female,802,22,46,86,61,33,19,37,217,79,21,29,98,45,4,6
"	 75 years and over",Female,"1,060",41,97,119,57,42,31,61,344,95,18,34,86,25,6,4
