Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Male,"21,318",225,589,"1,179",732,796,513,"1,538","7,374","3,225",711,899,"2,535",759,135,107
"		  18 to 24 years",Male,"3,476",3,3,24,34,58,77,490,"1,421","1,017",64,116,165,2,2,0
"	 25 years and over",Male,"17,842",223,587,"1,154",698,738,436,"1,048","5,953","2,208",647,783,"2,370",756,133,107
"		  25 to 29 years",Male,"2,592",17,18,49,14,64,39,147,"1,020",464,99,155,405,84,11,8
"		  30 to 34 years",Male,"2,320",4,28,86,61,94,56,186,803,352,107,121,328,73,13,5
"		  35 to 39 years",Male,"2,297",11,55,148,90,114,68,142,771,264,80,103,322,106,20,4
"		  40 to 44 years",Male,"2,180",16,56,135,96,136,48,118,790,226,77,86,276,100,6,15
"		  45 to 49 years",Male,"1,961",35,53,162,71,68,46,111,655,220,76,73,274,87,14,17
"		  50 to 54 years",Male,"1,677",32,80,111,117,72,51,86,567,133,54,58,222,69,15,10
"		  55 to 59 years",Male,"1,490",12,77,122,64,46,50,83,455,195,46,62,178,72,14,13
"		  60 to 64 years",Male,"1,137",33,78,100,49,48,16,79,329,134,43,48,102,62,10,7
"		  65 to 69 years",Male,789,17,45,91,49,30,14,31,200,75,23,38,121,33,8,15
"		  70 to 74 years",Male,620,31,37,50,41,34,22,34,141,83,25,19,59,31,8,5
"	 75 years and over",Male,780,15,61,101,45,31,25,31,222,62,16,22,85,40,14,10
