Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over",Male,"96,473",272,642,"1,213","1,360","1,249","1,406","3,690","28,774","16,280","4,134","4,888","21,095","7,865","1,642","1,964"
"		  18 to 24 years",Male,"10,802",10,9,28,91,82,183,"1,291","3,833","3,433",254,403,"1,120",50,8,7
"	 25 years and over",Male,"85,671",263,633,"1,185","1,268","1,166","1,223","2,398","24,941","12,847","3,880","4,485","19,975","7,815","1,634","1,957"
"		  25 to 29 years",Male,"8,413",19,15,41,49,94,91,261,"2,701","1,433",339,471,"2,408",375,73,42
"		  30 to 34 years",Male,"8,430",5,33,88,98,107,97,284,"2,364","1,281",390,478,"2,321",628,115,140
"		  35 to 39 years",Male,"8,192",21,56,128,124,132,116,251,"2,202","1,194",366,451,"2,034",768,155,195
"		  40 to 44 years",Male,"7,723",11,58,136,121,144,94,239,"2,189","1,044",363,418,"1,829",777,141,161
"		  45 to 49 years",Male,"7,381",38,51,156,106,100,126,196,"2,147","1,032",340,426,"1,640",723,126,174
"		  50 to 54 years",Male,"7,897",27,69,120,160,123,103,188,"2,327",967,360,412,"1,981",748,133,178
"		  55 to 59 years",Male,"7,945",18,84,111,119,99,148,234,"2,459","1,182",455,436,"1,610",672,147,170
"		  60 to 64 years",Male,"8,258",33,91,105,95,112,108,235,"2,647","1,277",424,404,"1,666",764,129,169
"		  65 to 69 years",Male,"7,126",26,57,96,86,52,88,170,"1,970","1,218",324,394,"1,523",749,175,200
"		  70 to 74 years",Male,"5,771",33,42,62,85,85,90,104,"1,421",978,281,298,"1,295",634,163,200
"	 75 years and over",Male,"8,535",32,76,143,227,120,163,237,"2,514","1,239",239,297,"1,670",976,276,327
